Model,MAE,MSE,R2,Accuracy (%),Best
LinearRegression,82657.95,10549721686.16,0.9146,91.46,True
RobustRegression,199465.56,61664910393.25,0.5011,50.11,False
RidgeRegression,82659.67,10549745186.67,0.9146,91.46,False
LassoRegression,82657.95,10549717660.36,0.9146,91.46,False
ElasticNet,99126.81,15081376466.56,0.878,87.8,False
PolynomialRegression,83413.36,10664698548.34,0.9137,91.37,False
SGDRegressor,1.273230970744772e+18,1.7620157058271295e+36,-1.4255926481528274e+25,-1.4255926481528274e+27,False
ANN,199283.0,61453892156.93,0.5028,50.28,False
RandomForest,97890.96,14963726724.35,0.8789,87.89,False
SVM,282947.69,123546565157.53,0.0004,0.04,False
LGBM,92133.99,13097708114.51,0.894,89.4,False
XGBoost,101565.19,16138680641.88,0.8694,86.94,False
KNN,198086.24,60395811313.31,0.5114,51.14,False
